Country,Approval of China Leadership,Approval of Germany Leadership,Approval of Russia Leadership,Approval of US Leadership,Confidence in Judicial System,Confidence in Military,Corruption in Government,Freedom of Media,Good place for Gay People,Good place for Minorities,Honesty of Elections,Move Away or Stay
Nigeria (2023),0.9740560545841184,0.9948645227234669,0.9507863868751906,0.9410594548439046,0.9974366808523859,0.9949887573429604,0.9972779963733556,0.985792194000937,0.9479710213365862,0.9892717836653049,0.99018251738356,0.9653840325196055
Norway (2024),0.9215972216498469,0.9986195732651688,0.9715694772618567,0.9478289652414796,0.9853868101809846,0.9881882279287459,0.9949285367913725,0.9818443239780518,0.985759640357583,0.9951865257500034,0.9995058565970826,0.9911139340059023
Oman (2024),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9762102746436755
Pakistan (2023),0.9946910222196075,0.936700661900333,0.9657722032170112,0.9805969322319997,0.0,0.0,0.9915089553988529,0.9503482790454565,0.0,0.9762303037721266,0.9955400836420975,0.9900012987192519
Palestine (2024),0.9990514567071991,0.9530860200422236,0.9990714295669239,0.9986851263243549,0.9907729616476364,0.9995476987733282,0.9938068792511355,0.9948549371132892,0.940047556014841,0.9903982943522427,0.990677820725541,0.9933538504210148
Panama (2024),0.9150182860011248,0.9487792200802473,0.9572841153153544,0.9877718068795616,0.9986075201312964,0.9898806781658163,0.9995740820926329,0.9608350507735588,0.9909314355860069,0.9620179371796529,0.9804015131276069,0.9938756497862717
Paraguay (2023),0.9919508392616873,0.9740951392775883,0.9897529924856144,0.9770238315542152,0.974649538780088,0.9949735895877942,0.9968947969253905,0.9818397503171482,0.9539492760802911,0.9984169215513903,0.9651908916312019,0.9969088827812056
Peru (2023),0.9857004822530392,0.9853674717864642,0.9526043043464894,0.9858035629774533,0.9945957175441367,0.9930275800050511,0.9918355744059402,0.9401807031504451,0.9712948143367286,0.9491203867787896,0.9807203641719386,0.9985294692741125
Philippines (2023),0.8672923869656922,0.9811782516039795,0.9800029189539727,0.9918112125611294,0.9967672735247259,0.9971072140871879,0.9971078170379662,0.9969301934475837,0.9407686883484067,0.9881537701629806,0.9998872037084608,0.9950005231291758
Poland (2024),0.9788111240390474,0.9742425699035953,0.9743926826093322,0.9422145937870925,0.9978387991792136,0.9803033616231355,0.9933242977910355,0.9662511859176283,0.9973647825704514,0.9980773983887365,0.9648735478558548,0.9951916910986379
Portugal (2024),0.9350424922840358,0.9927067637428498,0.9617129269498822,0.9868920383611768,0.9934702793625261,0.9941853497366548,0.994165285941968,0.9703532996468867,0.9999588014061447,0.9969351083420747,0.9700253399833989,0.9932424328236203
Puerto Rico (2022),0.9725746063524879,0.9845363233661231,0.9784839727379816,0.9015007777803897,0.9929790784789148,0.9737805843199299,0.9839035364262965,0.906790106041205,0.980989287002468,0.9799706699935404,0.9888100144338469,0.9973127969918346
Romania (2024),0.9978031914505924,0.9842821299696087,0.9949558440397613,0.9958196642745563,0.9896031421486305,0.9958094485271153,0.9883160900859355,0.9364331387298489,0.9655543148796284,0.9564427085810859,0.9832928547303045,0.9852587770588657
Russia (2024),0.9912883531757213,0.9844058812205786,0.0,0.9981529074812263,0.986542323311136,0.9820749884577364,0.9938849562050429,0.9723836162396828,0.0,0.9884080296394909,0.9926124475946073,0.9957044814879947
Rwanda (2019),0.0,0.0,0.0,0.0,0.9916881494699588,0.9952140752342656,0.9950159672875618,0.9580284391774186,0.0,0.0,0.999246187402168,0.9785680691026224
Saudi Arabia (2024),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9836761049877697
